eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profits_losses_eur_million,profits_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%,
49,Valeo,France,Automobiles & parts,617.0,10.8,10868.0,12.8,5.7,490.0,54.1,4.5,704.0,21.4,6.5,68,17.3,
50,Telecom Italia,Italy,Fixed line telecommunications,611.0,-12.5,29957.0,8.7,2.0,3029.0,8.1,10.1,6844.0,11.8,22.8,46,-34.1,
51,Michelin,France,Automobiles & parts,592.0,8.6,20719.0,15.8,2.9,1603.0,59.7,7.7,1931.0,12.3,9.3,114,3.5,
52,ASML Holding,The Netherlands,Technology hardware & equipment,590.3,12.8,5651.0,25.4,10.4,300.9,-12.2,5.3,1643.5,44.8,29.1,8,17.2,
53,Shire,UK,Pharmaceuticals & biotechnology,563.8,10.3,3295.0,22.8,17.1,150.2,-40.5,4.6,861.9,43.1,26.2,5,25.5,
54,Electricite de France,France,Electricity,518.0,6.6,65307.0,-9.9,0.8,,,,8809.0,104.0,13.5,152,-4.4,
55,Infineon Technologies,Germany,Technology hardware & equipment,499.0,4.4,3997.0,-13.4,12.5,845.0,155.3,21.1,736.0,39.1,18.4,26,0.0,
56,BP,UK,Oil & gas producers,491.5,-18.5,290221.0,26.4,0.2,13791.6,8.1,4.8,28913.4,-447.9,10.0,83,5.0,
57,Deutsche Bank,Germany,Banks,476.0,50.6,33351.0,9.1,1.4,,,,5390.0,35.6,16.2,101,22.5,
58,NXP Semiconductors,The Netherlands,Technology hardware & equipment,467.6,6.5,3241.4,-4.8,14.4,,,,268.2,10.0,8.3,24,,
59,Barclays,UK,Banks,448.1,326.1,35350.4,-8.1,1.3,,,,7024.9,-1.8,19.9,141,-6.7,
60,Lloyds Banking,UK,Banks,440.9,146.9,24819.6,-51.1,1.8,,,,-4232.4,-661.4,-17.1,103,-16.2,
61,AREVA,France,Electricity,434.0,-16.5,8872.0,-20.2,4.9,,,,-1765.0,453.3,-19.9,48,-0.6,
62,Saint-Gobain,France,Construction & materials,430.0,5.9,42116.0,5.0,1.0,,,,2794.0,10.5,6.6,190,-1.5,
63,Covidien,Ireland,Health care equipment & services,428.2,23.9,8543.0,12.6,5.0,,,,1735.0,12.9,20.3,41,-1.1,
64,Henkel,Germany,Household goods & home construction,396.0,0.8,15605.0,3.4,2.5,384.0,60.0,2.5,1789.0,4.3,11.5,47,-1.8,
65,Vestas Wind Systems,Denmark,Alternative energy,393.0,9.8,5836.0,-15.7,6.7,425.0,-7.2,7.3,-50.0,-116.0,-0.9,23,2.3,
66,Accenture,Ireland,Support services,388.9,31.2,17848.1,0.0,2.2,184.1,-1.8,1.0,2240.6,10.2,12.6,204,15.3,
67,DSM,The Netherlands,Chemicals,381.0,-7.1,9193.0,1.6,4.1,423.0,11.0,4.6,931.0,15.2,10.1,22,0.8,
68,Hella,Germany,Automobiles & parts,373.7,15.8,3549.5,8.1,10.5,207.7,-14.3,5.9,150.5,151.6,4.2,23,0.0,
69,Vodafone,UK,Mobile telecommunications,363.3,5.9,55464.4,1.2,0.7,5690.2,0.8,10.3,13464.3,29.4,24.3,86,3.0,
70,Carl Zeiss,Germany,Health care equipment & services,354.5,24.0,4237.1,42.1,8.4,,,,611.0,53.7,14.4,23,78.9,
71,Evonik Industries,Germany,General industrials,349.0,5.4,51.0,-99.7,684.3,,,,,,,6,-83.8,
72,Amadeus,Spain,Software & computer services,347.5,6.7,2759.1,6.4,12.6,44.3,0.4,1.6,837.2,166.8,30.3,8,4.9,
73,Akzo Nobel,The Netherlands,Chemicals,336.0,7.0,15697.0,1.8,2.1,708.0,27.3,4.5,1053.0,-18.9,6.7,57,3.9,
74,BAT,UK,Tobacco,329.8,52.5,18400.5,3.5,1.8,609.4,-1.4,3.3,5918.4,1.7,32.2,88,45.3,
75,Dassault Systemes,France,Software & computer services,329.3,2.2,1783.0,14.0,18.5,,,,428.6,46.1,24.0,10,27.2,
76,MAHLE,Germany,Automobiles & parts,322.8,4.1,6002.2,14.1,5.4,,,,424.8,38.6,7.1,48,7.9,
77,Reed Elsevier,UK,Media,322.6,17.4,7171.9,-0.9,4.5,,,,1439.9,9.7,20.1,31,-1.6,
78,Sandvik,Sweden,Industrial engineering,322.0,15.5,10557.0,13.8,3.1,560.4,57.5,5.3,1158.8,-6.0,11.0,49,6.2,
79,Tesco,UK,Food & drug retailers,311.9,7.4,77118.6,5.9,0.4,4031.6,3.1,5.2,4145.2,0.8,5.4,520,5.5,
80,UBIsoft Entertainment,France,Software & computer services,306.5,-5.2,1061.3,2.2,28.9,,,,45.6,-133.9,4.3,7,10.1,
81,BSH Bosch und Siemens Hausgerate,Germany,Household goods & home construction,297.0,4.9,9654.0,6.4,3.1,,,,693.0,-3.6,7.2,44,9.6,
82,Intesa Sanpaolo,Italy,Banks,288.0,14.3,16877.0,3.6,1.7,,,,-9542.0,-390.3,-56.5,100,1.3,
83,Diehl,Germany,General industrials,287.2,14.2,2929.3,7.5,9.8,,,,173.6,16.0,5.9,13,1.8,
84,BAE Systems,UK,Aerospace & defence,273.6,-15.8,21233.6,-15.8,1.3,429.0,-11.1,2.0,1888.0,-2.6,8.9,87,-8.4,
85,Dassault Aviation,France,Aerospace & defence,273.4,36.9,3305.3,-21.1,8.3,,,,1223.3,183.9,37.0,11,-0.9,
86,Fresenius,Germany,Health care equipment & services,267.0,9.4,16522.0,3.4,1.6,783.0,5.2,4.7,2563.0,6.0,15.5,149,11.3,
87,ThyssenKrupp,Germany,Industrial metals & mining,248.0,-1.2,43356.0,1.7,0.6,2319.0,-31.8,5.3,-286.0,-126.2,-0.7,180,1.8,
88,Deutsche Telekom,Germany,Fixed line telecommunications,243.8,-6.9,58653.0,-6.0,0.4,6569.0,-9.3,11.2,5847.0,-2.3,10.0,235,-6.9,
89,UniCredit,Italy,Banks,239.8,2.8,25651.7,0.1,0.9,,,,-7727.1,-488.1,-30.1,160,-5.1,
90,ArcelorMittal,Luxembourg,Industrial metals & mining,236.5,-5.0,72627.7,20.4,0.3,3739.1,46.3,5.1,3785.5,35.9,5.2,261,-4.7,
91,RWE,Germany,"Gas, water & multiutilities",235.0,-10.0,49153.0,-3.1,0.5,6353.0,1.8,12.9,4183.0,-38.3,8.5,72,1.5,
92,Danone,France,Food producers,233.0,11.5,19318.0,13.6,1.2,,,,2750.0,7.9,14.2,101,0.0,
93,Grunenthal,Germany,Personal goods,233.0,12.6,,,,,,,,,,0,,
94,GDF Suez,France,"Gas, water & multiutilities",231.0,4.1,90673.0,7.3,0.3,,,,9847.0,10.4,10.9,240,1.8,
95,Electrolux,Sweden,Household goods & home construction,229.2,2.5,11400.1,-4.4,2.0,354.9,-6.3,3.1,320.8,-44.2,2.8,53,2.7,
96,Hexagon,Sweden,Industrial engineering,223.4,63.0,2169.1,38.8,10.3,38.9,50.6,1.8,431.3,170.9,19.9,12,52.5,
97,Portugal Telecom,Portugal,Fixed line telecommunications,219.0,9.5,6000.7,63.0,3.6,1217.3,5.4,20.3,891.1,101.1,14.8,72,115.8,
98,Behr,Germany,Automobiles & parts,216.6,3.6,3706.0,10.6,5.8,,,,169.5,73.7,4.6,0,,
99,Knorr-Bremse,Germany,Industrial engineering,208.8,19.1,4240.8,14.2,4.9,,,,502.2,32.7,11.8,17,13.4,
100,Rheinmetall,Germany,Automobiles & parts,208.0,-2.8,4454.0,11.7,4.7,197.0,48.1,4.4,366.0,38.1,8.2,22,7.2,
101,Ipsen,France,Pharmaceuticals & biotechnology,206.3,2.0,1159.8,-0.9,17.8,44.3,-17.5,3.8,75.8,-38.6,6.5,4,0.5,
102,BioMerieux,France,Health care equipment & services,204.5,37.1,,,,,,,0.0,-100.0,,0,,
103,Legrand,France,Electronic & electrical equipment,201.6,16.2,4250.1,9.2,4.7,107.1,50.8,2.5,812.3,7.2,19.1,31,-1.1,
104,L'Air Liquide,France,Chemicals,201.5,9.3,14456.9,7.2,1.4,,,,2314.2,1.4,16.0,46,6.0,
105,Ingersoll-Rand,Ireland,Industrial engineering,198.9,5.5,11393.0,4.2,1.7,,,,671.0,-21.4,5.9,57,-3.6,
106,Atlas Copco,Sweden,Industrial engineering,195.4,15.8,9111.7,16.2,2.1,193.9,-0.2,2.1,1970.3,26.2,21.6,35,12.5,
107,B Braun Melsungen,Germany,Health care equipment & services,192.1,13.9,4609.4,4.2,4.2,,,,442.7,-4.0,9.6,44,8.3,
108,ENI,Italy,Oil & gas producers,191.0,-13.6,109589.0,11.2,0.2,11658.0,-5.3,10.6,17815.0,8.7,16.3,79,0.6,
109,Indra Sistemas,Spain,Software & computer services,189.3,2.8,2688.5,5.1,7.0,42.1,82.7,1.6,269.6,7.8,10.0,31,13.7,
110,ARM Holdings,UK,Technology hardware & equipment,183.6,12.8,587.7,21.0,31.2,14.5,96.4,2.5,174.6,36.3,29.7,2,11.0,
111,CSR UK,UK,Technology hardware & equipment,182.6,18.0,653.2,5.6,28.0,11.3,74.4,1.7,-35.2,700.7,-5.4,2,39.8,
112,Sage,UK,Software & computer services,181.4,-4.5,1594.1,-7.0,11.4,27.5,-19.0,1.7,412.1,4.7,25.9,14,2.3,
113,Zodiac Aerospace,France,Aerospace & defence,181.0,29.7,2734.8,27.2,6.6,61.3,14.2,2.2,400.9,73.3,14.7,20,11.6,
114,Tognum,Germany,Industrial engineering,180.0,16.0,2972.1,15.9,6.1,123.4,8.5,4.2,297.3,77.6,10.0,10,8.6,
115,Elan,Ireland,Pharmaceuticals & biotechnology,177.8,-1.3,510.6,-21.6,34.8,21.1,-33.1,4.1,50.2,-130.7,9.8,1,-29.1,
116,RSA Insurance,UK,Nonlife insurance,175.7,15.8,9724.2,-0.8,1.8,,,,19.1,-96.6,0.2,0,,
117,Burelle,France,Automobiles & parts,173.1,44.7,4222.1,29.9,4.1,172.0,82.3,4.1,284.9,41.0,6.7,20,26.1,
118,Novozymes,Denmark,Pharmaceuticals & biotechnology,173.1,10.7,1413.7,8.1,12.2,173.5,-3.7,12.3,317.7,13.3,22.5,6,7.4,
119,Wacker Chemie,Germany,Chemicals,172.9,4.7,4909.7,3.4,3.5,781.1,30.8,15.9,605.2,-18.3,12.3,17,7.1,
120,GKN,UK,Automobiles & parts,172.1,24.1,6866.0,13.0,2.5,282.0,29.0,4.1,478.0,-4.5,7.0,37,5.2,
121,Wartsila,Finland,Industrial engineering,172.0,17.0,4209.0,-7.6,4.1,90.0,23.3,2.1,437.0,8.4,10.4,18,-0.5,
122,Amdocs,UK,Software & computer services,171.5,6.8,2455.9,6.5,7.0,84.8,26.3,3.5,312.5,-1.3,12.7,20,1.9,
123,Invensys,UK,Software & computer services,170.9,-4.7,3033.9,2.1,5.6,,,,182.8,-36.5,6.0,21,1.4,
124,ZF Lenksysteme,Germany,Automobiles & parts,170.2,21.7,3566.3,18.8,4.8,,,,177.0,24.7,5.0,12,11.9,
125,Pirelli,Italy,Automobiles & parts,169.7,13.1,5654.8,9.9,3.0,617.8,42.7,10.9,596.0,54.3,10.5,31,3.0,
126,Chiesi,Italy,Pharmaceuticals & biotechnology,169.4,12.7,1056.9,4.1,16.0,,,,179.8,16.1,17.0,4,3.9,
127,Freudenberg,Germany,General industrials,169.0,9.0,6006.5,9.6,2.8,,,,505.4,7.2,8.4,36,5.6,
128,Kerry,Ireland,Food producers,167.1,6.8,5302.2,6.9,3.2,144.3,-5.3,2.7,474.0,4.9,8.9,24,7.0,
129,Danfoss,Denmark,Industrial engineering,166.8,17.6,4560.5,3.5,3.7,,,,567.5,29.4,12.4,24,-4.2,
130,SKF,Sweden,Industrial engineering,166.1,21.9,7430.0,8.5,2.2,206.4,11.4,2.8,1082.4,14.4,14.6,0,,
131,Grundfos,Denmark,Industrial engineering,164.1,13.4,729.6,-72.3,22.5,,,,39.8,-88.3,5.5,3,-82.3,
132,Agfa-Gevaert,Belgium,Electronic & electrical equipment,164.0,4.5,3023.0,2.5,5.4,55.0,14.6,1.8,36.0,-84.2,1.2,12,0.2,
133,Maxingvest,Germany,General retailers,163.0,7.2,9173.0,-4.4,1.8,,,,555.0,-34.2,6.1,30,-3.8,
134,Voith,Germany,General industrials,162.4,-36.1,5593.6,7.6,2.9,,,,396.7,7.5,7.1,42,2.3,
135,Solvay,Belgium,Chemicals,161.0,-14.8,8109.0,14.1,2.0,602.0,73.0,7.4,749.0,159.2,9.2,29,73.5,
136,Trumpf,Germany,General industrials,158.0,22.1,1340.0,-19.4,11.8,48.3,-59.8,3.6,-48.5,-184.0,-3.6,8,-2.5,
137,Umicore,Belgium,Chemicals,156.8,16.2,14480.9,49.4,1.1,188.0,32.9,1.3,440.1,37.5,3.0,15,54.4,
138,Reckitt Benckiser,UK,Household goods & home construction,152.9,6.7,11333.8,12.2,1.3,196.0,-3.5,1.7,2851.1,12.0,25.2,38,39.0,
139,SAAB,Sweden,Aerospace & defence,152.0,12.6,2636.7,-3.8,5.8,36.5,23.1,1.4,188.6,73.8,7.2,13,3.1,
140,Technicolor,France,Media,152.0,4.8,3450.0,-15.2,4.4,106.0,-23.7,3.1,-33.0,-82.4,-1.0,17,-5.1,
141,Gemalto,The Netherlands,Electronic & electrical equipment,151.7,19.7,2015.4,3.0,7.5,53.1,20.0,2.6,163.6,-1.3,8.1,10,0.0,
142,Johnson Matthey,UK,Chemicals,146.0,16.9,14366.7,20.4,1.0,,,,518.8,55.2,3.6,10,7.1,
143,Linde,Germany,Chemicals,145.0,54.3,13787.0,7.1,1.1,1345.0,6.5,9.8,1863.0,13.1,13.5,50,3.5,
144,Almirall,Spain,Pharmaceuticals & biotechnology,144.5,158.0,768.4,-12.9,18.8,18.7,30.9,2.4,80.2,-44.1,10.4,3,-7.3,
145,Claas,Germany,Industrial engineering,144.3,18.3,3304.2,33.5,4.4,,,,285.7,212.3,8.6,9,-0.8,
146,Lanxess,Germany,Chemicals,144.0,24.1,8775.0,23.2,1.6,679.0,35.3,7.7,745.0,19.6,8.5,16,13.2,
147,Rabobank,The Netherlands,Banks,143.0,-35.3,12781.0,13.4,1.1,,,,3052.0,17.2,23.9,60,-0.4,
148,British Sky Broadcasting,UK,Media,142.2,12.2,7063.2,10.3,2.0,322.1,10.0,4.6,1640.6,114.2,23.2,16,10.2,
149,Metro,Germany,General retailers,142.0,389.7,66702.0,-0.8,0.2,1414.0,0.1,2.1,1950.0,-5.3,2.9,291,-1.1,
150,Dragerwerk,Germany,Health care equipment & services,140.0,-3.8,2255.8,3.6,6.2,59.5,20.2,2.6,213.8,5.3,9.5,12,6.6,
151,Essilor International,France,Health care equipment & services,139.9,-7.3,4189.5,7.7,3.3,,,,759.3,21.6,18.1,49,27.8,
152,Tomtom,The Netherlands,Electronic & electrical equipment,139.1,-15.3,1273.2,-16.3,10.9,16.5,-9.6,1.3,-424.7,-341.9,-33.4,4,12.5,
153,Iberdrola,Spain,Electricity,136.4,4.9,31648.0,4.0,0.4,4043.4,-22.6,12.8,4461.3,-7.4,14.1,32,1.7,
154,Anheuser-Busch Inbev,Belgium,Beverages,135.3,-4.9,30177.0,7.6,0.4,2609.2,55.4,8.6,10221.0,19.3,33.9,116,1.5,
155,LyondellBasell Industries,The Netherlands,Chemicals,135.3,17.8,,,,,,,,,,0,,
156,Veolia Environnement,France,"Gas, water & multiutilities",135.0,-3.2,29647.3,-16.8,0.5,,,,968.3,-49.8,3.3,258,-10.0,
157,Assa Abloy,Sweden,Construction & materials,134.9,18.4,4688.7,13.5,2.9,100.8,54.0,2.1,587.4,-12.0,12.5,41,10.2,
158,Merz,Germany,Pharmaceuticals & biotechnology,133.7,3.7,837.2,18.8,16.0,,,,167.1,13.3,20.0,0,,
159,ASM International,The Netherlands,Technology hardware & equipment,132.8,68.6,1634.3,33.6,8.1,89.2,-17.7,5.5,269.5,-17.9,16.5,18,23.0,
160,Arkema,France,Chemicals,132.0,7.3,5900.0,21.2,2.2,,,,781.0,36.5,13.2,16,13.5,
161,Vattenfall,Sweden,Electricity,131.4,-37.4,20314.2,-15.2,0.6,,,,2563.2,-23.1,12.6,35,-9.8,
162,Pace,UK,Technology hardware & equipment,131.2,-5.0,1784.8,10.8,7.3,32.1,30.6,1.8,58.2,-34.3,3.3,2,46.5,
163,ING,The Netherlands,Life insurance,131.0,-11.5,16605.0,-69.6,0.8,,,,5299.0,18.4,31.9,0,,
164,Vilmorin,France,Food producers,129.6,10.4,1063.8,6.2,12.2,41.4,6.4,3.9,77.8,-6.5,7.3,6,11.5,
165,Smith & Nephew,UK,Health care equipment & services,129.1,10.6,3300.1,7.8,3.9,248.1,28.4,7.5,673.2,-6.8,20.4,11,5.6,
166,Heidelberger Druckmaschinen,Germany,Industrial engineering,129.0,6.2,2595.7,-1.3,5.0,65.9,-12.3,2.5,3.8,-242.4,0.1,15,-4.0,
167,Lafarge,France,Construction & materials,129.0,-15.7,15284.0,-5.5,0.8,,,,1638.0,-22.3,10.7,61,-9.1,
168,Cooper Industries,Ireland,Electronic & electrical equipment,128.7,11.2,4180.7,6.8,3.1,96.6,26.9,2.3,634.1,41.6,15.2,26,4.0,
169,Getinge,Sweden,Health care equipment & services,124.7,5.2,2452.2,-1.4,5.1,104.9,27.2,4.3,440.3,7.7,18.0,12,2.3,
170,MTU Aero Engines,Germany,Aerospace & defence,124.2,2.9,2932.1,8.3,4.2,113.6,34.0,3.9,288.0,7.4,9.8,8,3.7,
171,Krones,Germany,Industrial engineering,123.1,7.7,2480.3,14.1,5.0,71.5,47.4,2.9,69.0,1.3,2.8,11,11.4,
172,Commerzbank,Germany,Banks,120.0,-25.9,11815.0,-6.5,1.0,,,,507.0,-62.5,4.3,56,-3.0,
173,Metso,Finland,Industrial engineering,118.0,12.4,6646.0,19.7,1.8,164.0,50.5,2.5,566.0,32.6,8.5,30,9.9,
174,Giesecke & Devrient,Germany,Support services,117.0,-3.5,,,,,,,,,,0,,
175,SNCF,France,Industrial transportation,117.0,41.0,32645.0,6.6,0.4,,,,641.0,-11.7,2.0,245,1.7,
176,Bouygues,France,Construction & materials,116.0,-0.9,32706.0,4.7,0.4,,,,2139.0,5.7,6.5,135,-1.9,
177,adidas,Germany,Personal goods,115.0,12.7,13344.0,11.3,0.9,318.0,40.1,2.4,1011.0,15.1,7.6,47,13.4,
178,Elekta,Sweden,Health care equipment & services,114.9,86.2,1015.3,22.4,11.3,14.4,54.2,1.4,199.2,43.8,19.6,3,27.2,
179,Rio Tinto,UK,Mining,114.4,-20.9,46786.5,7.0,0.2,9533.2,176.0,20.4,17872.3,19.0,38.2,68,-11.7,
180,KWS SAAT,Germany,Food producers,113.5,16.4,855.4,13.4,13.3,33.7,-35.4,3.9,121.1,74.6,14.2,4,1.9,
181,TNK-BP,UK,"Oil equipment, services & distribution",112.1,88.3,33424.5,33.4,0.3,,,,9727.2,47.8,29.1,26,-0.1,
182,Deutsche Borse,Germany,Other financials,111.6,12.8,2233.3,3.1,5.0,41.6,-46.5,1.9,1071.2,107.2,48.0,4,1.4,
183,Husqvarna,Sweden,Industrial engineering,110.9,54.1,3406.3,-5.8,3.3,78.8,-29.2,2.3,173.6,-36.8,5.1,16,5.0,
184,Kion,Germany,Support services,110.1,9.6,4368.4,23.6,2.5,,,,171.0,15372.1,3.9,21,5.2,
185,Deutz,Germany,Industrial engineering,109.8,25.8,1529.0,28.6,7.2,97.8,219.6,6.4,86.2,284.8,5.6,4,5.0,
186,Lantiq,Germany,Electronic & electrical equipment,108.5,,330.9,,32.8,,,,-36.3,,-11.0,0,,
187,E.ON,Germany,"Gas, water & multiutilities",108.0,22.7,112954.0,19.6,0.1,6216.0,-26.3,5.5,-155.0,-102.1,-0.1,79,-10.1,
188,Benteler International,Austria,General industrials,106.8,-2.5,20.9,-99.7,511.5,,,,,,,0,-99.9,
189,Wm Morrison Supermarkets,UK,Food & drug retailers,106.3,-4.1,21105.8,9.7,0.5,865.1,53.8,4.1,1163.8,10.2,5.5,131,-0.7,
190,Korber,Germany,General industrials,106.1,12.8,1943.1,15.9,5.5,,,,226.5,61.0,11.7,9,2.1,
191,Symrise,Germany,Chemicals,105.8,-0.5,1583.6,0.7,6.7,47.7,-16.8,3.0,232.7,-4.8,14.7,6,2.8,
192,John Lewis,UK,General retailers,105.6,103.2,9270.9,5.4,1.1,,,,474.6,68.7,5.1,79,5.2,
193,Serco,UK,Support services,105.4,3.6,5552.1,7.4,1.9,59.4,6.0,1.1,327.9,13.3,5.9,77,30.4,
