country,rnd_1_year_growth_%,capex_1_year_growth_%,capex_eur_million,capex_int_%,company,employees,employees_1_year_growth_%,eu_rank,industrial_sector,profitability_%,profits_1_year_growth_%,profits_losses_eur_million,rnd_eur_million,rnd_intensity_%,sales_1_year_growth_%,sales_eur_million,year
germany,-1.48,4.78,4.32,,schering,26.13,-1.62,26,pharma & biotech (48),14.6,,,933.0,19.01,1.64,4907.0,2004
germany,0.0,9.94,8.84,,deutsche telekom,247.56,-1.47,27,telecommunication services (67),14.9,,,900.0,1.55,3.66,57880.0,2004
the netherlands,-7.4,4.45,4.34,,akzo nobel,63.6,-4.22,28,chemicals (11),6.3,,,826.0,6.51,-2.78,12688.0,2004
france,20.83,3.45,3.17,,snecma,35.45,-10.7,29,aerospace & defence (21),6.2,,,754.0,11.07,5.92,6812.0,2004
france,-5.17,6.68,6.79,,michelin,126.47,-0.58,30,automobiles & parts (31),6.7,,,673.77,4.29,2.08,15689.0,2004
france,-4.8,,,,total,111.4,0.56,31,oil & gas (7),14.9,,,635.0,0.52,17.25,122700.0,2004
germany,-0.93,3.9,3.99,,merck,28.88,-15.58,32,pharma & biotech (48),10.9,,,599.0,10.22,-18.65,5859.0,2004
denmark,3.79,9.45,10.81,,novo nordisk,19.52,6.2,33,pharma & biotech (48),23.6,,,585.07,14.99,9.39,3903.0,2004
france,3.55,4.62,4.73,,valeo,55.54,-18.56,34,automobiles & parts (31),2.4,,,584.0,6.19,2.22,9439.0,2004
france,17.99,10.86,10.84,,france telecom,204.83,-7.59,35,telecommunication services (67),16.4,,,564.0,1.2,2.25,47157.0,2004
france,8.34,2.88,2.68,,schneider,84.87,14.26,36,electronic & electrical  (25),9.6,,,535.2,5.16,18.05,10365.0,2004
germany,6.38,5.06,5.33,,continental,73.75,10.94,37,automobiles & parts (31),8.8,,,530.0,4.21,9.22,12597.0,2004
germany,-0.67,6.93,5.69,,zf,54.52,1.94,38,automobiles & parts (31),3.8,,,520.47,5.26,10.88,9899.0,2004
france,5.63,3.49,3.02,,l'oreal,52.08,3.13,39,personal care & household (47),15.4,,,507.0,3.49,3.6,14534.0,2004
spain,4.77,10.41,10.47,,telefonica,156.82,4.92,40,telecommunication services (67),18.0,,,461.0,1.52,6.77,30322.0,2004
germany,8.06,6.22,6.18,,altana,10.69,6.14,41,pharma & biotech (48),20.6,,,445.05,15.02,8.34,2963.0,2004
france,14.53,3.58,3.18,,thales,55.48,-3.42,42,aerospace & defence (21),3.9,,,436.0,4.24,-2.66,10288.0,2004
belgium,1.67,6.36,5.83,,solvay,29.3,-2.78,43,chemicals (11),9.8,,,427.0,5.42,4.23,7877.0,2004
france,11.55,13.09,12.27,,electricite de france,156.15,-6.67,44,electricity (72),7.1,,,425.0,0.91,4.47,46928.0,2004
uk,-5.31,5.95,4.69,,shell (now royal dutch shell),114.0,-4.2,45,oil & gas (7),12.3,,,406.85,0.21,31.46,195104.0,2004
france,41.05,6.41,5.17,,areva,70.07,45.94,46,electricity (72),5.4,,,402.0,3.62,34.57,11109.0,2004
germany,-1.72,3.86,3.99,,man,62.79,-13.34,47,engineering & machinery (26),4.0,,,400.0,2.68,-0.49,14947.0,2004
uk,0.36,3.3,3.22,,rolls-royce,35.2,-2.49,48,aerospace & defence (21),5.8,,,398.33,4.75,5.2,8389.0,2004
belgium,39.26,5.53,,,ucb,12.02,-0.64,49,pharma & biotech (48),13.8,,,376.0,12.26,3.44,3068.0,2004
uk,-23.06,14.32,16.13,,bt,99.6,-3.39,50,telecommunication services (67),16.7,,,363.01,1.38,0.56,26305.0,2004
france,-28.96,1.62,1.32,,alstom,69.59,-9.4,51,electronic & electrical  (25),-2.4,,,336.0,2.46,-18.13,13662.0,2004
the netherlands,15.43,4.6,3.61,,asml,5.04,-5.35,52,it hardware (93),15.4,,,330.96,13.43,59.75,2465.0,2004
uk,25.79,5.71,4.56,,bp,104.2,-3.65,53,oil & gas (7),8.3,,,322.98,0.16,21.64,208141.0,2004
france,-2.73,4.04,5.08,,lagardere,47.29,9.95,54,media & entertainment (54),5.1,,,321.0,2.4,7.51,13389.0,2004
uk,28.07,14.16,14.84,,vodafone,57.38,-4.54,55,telecommunication services (67),-12.7,,,309.34,0.64,1.71,48213.0,2004
sweden,9.44,10.25,12.69,,teliasonera,25.38,-3.08,56,telecommunication services (67),22.2,,,308.11,3.4,-0.59,9071.0,2004
france,-0.65,4.57,4.8,,saint-gobain,174.25,2.62,57,construction & building (13),7.0,,,304.0,0.95,8.23,32025.0,2004
germany,85.9,2.82,2.87,,deutsche post,381.49,1.71,58,support services (58),6.8,,,290.0,0.67,7.87,43168.0,2004
the netherlands,6.72,6.73,4.15,,dsm,24.48,19.32,59,chemicals (11),4.2,,,286.0,3.69,28.13,7752.0,2004
france,-6.1,6.03,4.35,,thomson,49.08,-15.96,60,electronic & electrical  (25),-4.8,,,277.0,3.47,-5.5,7994.0,2004
germany,5.84,3.4,3.25,,henkel,49.95,3.35,61,personal care & household (47),19.5,,,272.0,2.57,12.25,10592.0,2004
sweden,20.63,4.87,5.29,,autoliv,34.5,7.48,62,automobiles & parts (31),8.5,,,271.04,6.0,15.9,4520.0,2004
uk,-5.58,2.14,2.59,,marconi,,,63,it hardware (93),-7.4,,,262.73,13.91,-14.18,1889.0,2004
uk,-1.19,9.85,10.64,,amersham (now ge healthcare),10.31,2.6,64,health (44),13.1,,,257.08,11.59,2.12,2218.0,2004
italy,7.98,15.23,11.6,,eni,71.5,-6.57,65,oil & gas (7),20.4,,,257.0,0.44,13.39,58382.0,2004
sweden,6.97,15.35,11.38,,scania,29.06,5.05,66,engineering & machinery (26),10.9,,,254.97,4.0,13.16,6382.0,2004
germany,-33.26,2.95,3.84,,heidelberger druckmaschinen,19.45,-17.19,67,engineering & machinery (26),4.3,,,243.79,7.26,-8.22,3360.0,2004
sweden,23.17,2.79,3.74,,electrolux,72.38,-6.17,68,household goods & textiles (34),3.9,,,227.18,1.7,-2.77,13357.0,2004
france,2.9,2.12,2.51,,dassault systemes,4.46,9.0,69,software & computer services (97),28.9,,,221.86,27.84,5.56,797.0,2004
germany,10.0,5.17,4.12,,carl zeiss,13.54,-4.38,70,health (44),5.7,,,209.0,9.79,5.22,2135.0,2004
uk,-5.77,2.64,2.86,,ici,33.82,-6.6,71,chemicals (11),7.9,,,207.64,2.62,-4.25,7911.0,2004
the netherlands,-0.84,6.5,6.41,,oce,21.76,-2.62,72,it hardware (93),4.2,,,206.56,7.79,-4.23,2652.0,2004
italy,-2.94,4.09,3.95,,pirelli,33.7,-7.81,73,diversified industrials (24),5.6,,,198.0,2.78,6.64,7114.0,2004
germany,37.24,1.74,2.01,,schwarz pharma,3.81,-1.04,74,pharma & biotech (48),2.2,,,197.67,20.87,-36.7,947.0,2004
france,15.29,4.1,5.38,,vivendi universal,39.18,-21.03,75,media & entertainment (54),14.1,,,196.0,0.91,-15.91,21428.0,2004
germany,5.98,,5.44,,behr,16.99,5.6,76,automobiles & parts (31),4.0,,,195.0,6.39,1.5,3050.0,2004
uk,5.47,3.08,2.93,,smiths,26.73,-14.9,77,aerospace & defence (21),10.7,,,193.23,5.0,-10.56,3861.0,2004
belgium,-18.03,3.56,2.66,,agfa-gevaert,16.22,-12.81,78,health (44),12.5,,,191.0,5.08,-10.75,3762.0,2004
germany,4.37,3.47,3.42,,thyssenkrupp,187.68,-0.47,79,engineering & machinery (26),4.6,,,191.0,0.49,8.87,39342.0,2004
germany,5.03,8.15,9.09,,linde,45.54,-1.6,80,chemicals (11),6.9,,,188.0,2.0,4.77,9421.0,2004
sweden,-0.3,5.9,4.75,,sandvik,37.67,1.44,81,engineering & machinery (26),13.1,,,185.0,3.06,11.88,6046.0,2004
uk,-25.15,4.07,3.85,,reuters,15.98,-6.74,82,media & entertainment (54),7.3,,,180.8,4.44,-9.77,4075.0,2004
uk,-24.85,3.17,1.99,,invensys,36.37,-16.6,83,electronic & electrical  (25),-1.6,,,175.15,4.24,-24.87,4129.0,2004
denmark,-29.78,12.43,11.85,,lundbeck,5.16,-1.3,84,pharma & biotech (48),26.0,,,172.82,13.21,-2.1,1308.0,2004
germany,2.26,7.43,7.83,,hella,23.34,8.31,85,automobiles & parts (31),3.1,,,171.7,5.47,3.73,3141.0,2004
france,-15.76,4.0,3.92,,rhodia,20.58,-10.76,86,chemicals (11),-11.4,,,171.0,3.24,-3.15,5281.0,2004
germany,-3.23,4.32,3.76,,diehl stiftung,10.67,-0.6,87,diversified industrials (24),3.8,,,162.0,10.16,2.84,1595.0,2004
uk,-12.35,4.09,4.41,,shire pharmaceuticals,1.89,-0.68,88,pharma & biotech (48),8.7,,,158.95,14.91,-0.84,1066.0,2004
spain,5.65,2.8,3.84,,amadeus global travel,5.76,12.28,89,leisure & hotels (53),16.3,,,153.21,7.45,6.64,2057.0,2004
germany,-19.58,4.17,4.37,,rheinmetall,19.05,-24.42,90,automobiles & parts (31),5.7,,,152.0,4.45,-19.66,3413.0,2004
germany,-0.13,12.48,13.68,,wacker-chemie,15.3,-5.38,91,chemicals (11),5.4,,,151.5,5.96,3.04,2543.0,2004
germany,10.37,3.54,3.16,,jm voith,,,92,diversified industrials (24),5.7,,,149.0,4.57,4.92,3262.0,2004
germany,6.15,6.18,7.18,,freudenberg,32.04,12.77,93,diversified industrials (24),6.8,,,148.4,3.36,14.25,4418.0,2004
france,7.08,4.19,3.09,,pierre fabre,9.18,4.53,94,pharma & biotech (48),4.0,,,145.1,10.18,6.82,1426.0,2004
sweden,9.44,7.63,10.23,,atlas copco,26.83,4.36,95,engineering & machinery (26),13.6,,,141.16,2.62,9.05,5387.0,2004
italy,0.0,10.08,10.63,,telecom italia,88.89,-7.21,96,telecommunication services (67),21.0,,,139.0,0.44,1.25,31237.0,2004
luxembourg,4.08,4.18,4.21,,ipsen,3.77,4.35,97,pharma & biotech (48),21.2,,,136.25,18.49,2.65,737.0,2004
ireland,-27.32,4.63,14.08,,elan,1.83,-31.85,98,pharma & biotech (48),-84.4,,,136.03,39.89,-39.22,341.0,2004
luxembourg,-4.93,4.99,4.48,,arcelor,95.83,-3.7,99,steel & other metals (18),12.0,,,135.0,0.45,16.41,30176.0,2004
germany,9.92,4.42,4.13,,fresenius,67.84,3.98,100,health (44),11.6,,,133.0,1.83,2.93,7271.0,2004
france,0.77,4.05,3.73,,danone,89.45,0.95,101,food producers (43),7.5,,,131.0,0.96,4.33,13700.0,2004
uk,2.59,1.26,1.04,,misys,6.51,0.99,102,software & computer services (97),4.3,,,128.11,10.21,-1.26,1255.0,2004
germany,-70.64,9.46,8.1,,rwe,106.14,-23.93,103,utilities - other (77),12.3,,,128.0,0.31,-4.15,40996.0,2004
france,-3.28,8.2,8.06,,biomerieux,5.43,-0.86,104,health (44),13.8,,,126.8,13.62,1.75,931.0,2004
uk,9.88,4.8,5.45,,gkn,36.6,3.15,105,automobiles & parts (31),-0.3,,,125.71,2.55,4.5,4921.0,2004
germany,3.33,2.54,2.93,,knorr-bremse,10.95,0.88,106,engineering & machinery (26),9.1,,,124.0,5.12,9.84,2423.0,2004
germany,6.19,10.07,8.85,,schott,18.62,-4.95,107,chemicals (11),4.6,,,120.0,5.93,3.96,2023.0,2004
france,-0.87,8.29,6.94,,snpe,5.09,-4.1,108,chemicals (11),-8.3,,,114.0,14.38,1.15,793.0,2004
ireland,25.5,2.65,2.76,,kerry,21.67,14.85,109,food producers (43),5.7,,,110.92,2.69,11.81,4129.0,2004
france,57.81,2.18,3.23,,business objects,3.83,-2.29,110,software & computer services (97),9.2,,,110.77,16.27,64.89,681.0,2004
france,19.59,0.68,0.57,,infogrames entertainment,1.51,-18.15,111,software & computer services (97),-1.4,,,110.5,15.76,-20.43,701.0,2004
denmark,8.01,6.79,4.69,,novozymes,3.93,2.99,112,pharma & biotech (48),17.8,,,108.76,13.43,3.85,810.0,2004
france,3.08,6.14,6.37,,essilor international,24.05,10.74,113,health (44),15.0,,,107.2,4.74,6.81,2260.0,2004
uk,28.29,7.71,6.39,,sage,7.64,31.52,114,software & computer services (97),26.9,,,105.07,10.82,22.76,971.0,2004
uk,5.98,5.12,4.87,,merial,6.25,-1.92,115,pharma & biotech (48),13.1,,,104.25,7.58,8.27,1375.0,2004
germany,7.27,3.54,2.96,,dragerwerk,9.78,-5.35,116,health (44),6.6,,,103.84,6.83,7.57,1520.0,2004
france,9.54,7.99,9.2,,l'air liquide,35.9,12.59,117,chemicals (11),13.5,,,103.3,1.1,11.7,9376.0,2004
finland,-18.25,4.21,2.34,,metso,24.36,-11.08,118,engineering & machinery (26),2.9,,,103.0,2.59,-6.45,3976.0,2004
germany,1.0,3.27,3.37,,beiersdorf,16.49,-9.63,119,personal care & household (47),11.1,,,101.0,2.22,-2.72,4546.0,2004
germany,10.37,5.45,6.55,,trumpf,5.85,2.11,120,diversified industrials (24),8.3,,,97.9,8.02,2.35,1221.0,2004
france,3.03,7.05,7.35,,veolia environnement,207.56,-19.29,121,utilities - other (77),-2.8,,,95.3,0.33,-4.91,28603.0,2004
uk,1.96,3.64,5.37,,spirent,4.52,0.51,122,it hardware (93),7.2,,,95.06,14.17,1.82,671.0,2004
uk,-8.21,4.04,3.37,,bat,60.95,0.06,123,tobacco (49),18.0,,,94.64,0.62,1.84,15204.0,2004
uk,3.08,3.43,4.52,,gus,73.09,-4.16,124,general retailers (52),9.6,,,94.64,0.86,3.16,10999.0,2004
germany,-10.69,5.93,6.12,,b braun melsungen,29.82,2.01,125,health (44),7.3,,,94.13,3.37,5.52,2793.0,2004
uk,-0.6,6.07,7.6,,smith & nephew,7.87,5.57,126,health (44),14.1,,,93.79,5.32,5.95,1764.0,2004
uk,5.99,4.22,3.07,,amdocs,10.6,3.92,127,software & computer services (97),16.8,,,93.0,7.13,19.62,1305.0,2004
france,1.12,10.1,8.88,,gaz de france,38.02,-0.72,128,oil & gas (7),8.9,,,90.0,0.5,8.9,18129.0,2004
sweden,-0.13,3.3,1.97,,saab,12.12,-7.71,129,aerospace & defence (21),8.9,,,89.34,4.52,3.46,1976.0,2004
france,4.71,4.39,4.68,,bouygues,128.78,0.67,130,construction & building (13),5.9,,,89.0,0.38,7.24,23402.0,2004
belgium,111.9,2.95,2.22,,umicore,11.52,19.51,131,steel & other metals (18),3.9,,,89.0,1.25,52.13,7115.0,2004
uk,1.61,2.05,4.04,,corus,48.6,-3.38,132,steel & other metals (18),6.5,,,88.99,0.68,17.33,13181.0,2004
uk,18.88,4.69,4.31,,cadbury schweppes,58.44,4.74,133,food producers (43),12.4,,,88.99,0.94,4.61,9517.0,2004
sweden,6.14,3.34,3.12,,skf,38.5,2.31,134,engineering & machinery (26),9.4,,,88.13,1.78,8.34,4963.0,2004
germany,2.33,1.76,1.82,,adidas-salomon,16.34,6.04,135,household goods & textiles (34),8.9,,,88.0,1.36,3.37,6478.0,2004
france,7.59,6.51,5.26,,suez,160.71,-7.3,136,utilities - other (77),7.9,,,85.0,0.21,2.82,40739.0,2004
the netherlands,7.36,5.15,7.69,,asm international,8.16,16.6,137,it hardware (93),11.7,,,84.87,11.26,29.55,754.0,2004
uk,5.27,1.91,2.01,,reckitt benckiser,19.9,-2.45,138,personal care & household (47),19.6,,,84.75,1.55,4.25,5468.0,2004
uk,-11.94,42.28,21.74,,british nuclear fuels (now british nuclear group sellafield),23.15,0.77,139,electricity (72),-12.3,,,83.34,2.54,4.66,3280.0,2004
finland,-7.55,10.09,7.75,,stora enso,43.78,-1.1,140,forestry & paper (15),4.9,,,82.1,0.66,1.84,12396.0,2004
spain,-24.31,,,,industria de turbo propulsores,2.24,1.86,141,aerospace & defence (21),9.9,,,81.75,21.57,-6.42,379.0,2004
uk,-1.88,8.0,10.22,,avecia,3.1,-9.85,142,chemicals (11),-16.4,,,81.5,11.9,-15.74,685.0,2004
france,9.54,1.78,1.18,,ubisoft entertainment,2.35,18.19,143,software & computer services (97),1.0,,,80.24,15.8,13.14,508.0,2004
denmark,23.24,9.34,9.98,,grundfos,12.62,8.08,144,engineering & machinery (26),10.6,,,76.79,4.7,9.01,1634.0,2004
denmark,-2.07,2.46,7.37,,danfoss,17.4,-0.49,145,engineering & machinery (26),6.1,,,76.23,3.47,5.88,2197.0,2004
uk,-1.1,2.52,2.06,,johnson matthey,7.53,1.25,146,chemicals (11),3.5,,,76.13,1.16,3.25,6552.0,2004
denmark,10.07,5.31,4.25,,danisco,9.24,9.42,147,food producers (43),10.8,,,74.88,3.12,8.8,2398.0,2004
italy,-7.67,3.38,2.4,,italtel,2.48,-6.83,148,it hardware (93),-1.6,,,74.6,13.76,-8.45,542.0,2004
germany,10.25,1.53,1.71,,wincor nixdorf,5.58,16.19,149,software & computer services (97),5.4,,,72.91,4.63,9.44,1576.0,2004
sweden,4.13,8.39,7.77,,svenska cellulosa,49.92,19.92,150,forestry & paper (15),6.3,,,72.63,0.73,5.42,9960.0,2004
germany,8.0,3.48,2.07,,claas,8.15,11.81,151,engineering & machinery (26),3.1,,,72.59,3.77,28.88,1928.0,2004
uk,-12.46,4.61,5.3,,tomkins,36.72,-6.63,152,engineering & machinery (26),8.3,,,72.46,1.72,-5.39,4210.0,2004
luxembourg,0.28,2.0,2.66,,gemplus international,5.48,8.72,153,electronic & electrical  (25),2.4,,,72.19,8.35,15.49,865.0,2004
the netherlands,-4.05,2.52,2.58,,stork,12.79,-11.65,154,engineering & machinery (26),5.2,,,71.0,3.89,-6.27,1824.0,2004
uk,4.15,2.76,3.24,,arm,0.77,6.03,155,it hardware (93),23.0,,,70.81,32.78,19.34,216.0,2004
germany,1.87,7.55,8.08,,epcos,15.59,17.35,156,electronic & electrical  (25),4.4,,,70.72,5.19,7.08,1362.0,2004
finland,-17.93,1.37,1.18,,orion,4.61,-17.21,157,health (44),6.6,,,70.5,3.63,-14.06,1944.0,2004
germany,26.59,2.39,2.09,,deutz,5.54,0.38,158,engineering & machinery (26),1.2,,,69.5,5.6,5.88,1242.0,2004
belgium,-1.02,3.02,3.42,,barco,4.39,9.12,159,electronic & electrical  (25),8.7,,,69.01,10.27,6.84,672.0,2004
uk,20.54,4.76,5.91,,cobham,9.86,9.71,160,aerospace & defence (21),13.7,,,68.79,4.96,18.03,1388.0,2004
sweden,27.0,3.17,3.67,,trelleborg,21.68,36.71,161,automobiles & parts (31),4.0,,,68.2,2.69,27.62,2537.0,2004
sweden,-4.22,7.88,5.46,,gambro,21.39,0.55,162,health (44),-1.8,,,67.87,2.3,1.87,2947.0,2004
finland,-23.89,1.4,2.09,,kone,30.98,-10.19,163,engineering & machinery (26),9.6,,,67.28,1.51,-16.73,4450.0,2004
germany,1.54,3.46,3.84,,cognis deutschland,8.06,-6.94,164,chemicals (11),3.4,,,66.0,2.15,4.17,3073.0,2004
germany,7.0,3.89,3.88,,eberspaecher,5.12,0.08,165,automobiles & parts (31),1.8,,,65.7,4.48,9.88,1468.0,2004
germany,-15.06,9.07,3.8,,giesecke & devrient,7.34,7.42,166,support services (58),5.7,,,62.67,5.42,10.51,1157.0,2004
uk,-1.9,58.33,4.55,,cambridge antibody,0.28,-4.39,167,pharma & biotech (48),-265.0,,,62.33,283.32,83.33,22.0,2004
italy,-4.74,,1.27,,chiesi farmaceutici,2.52,6.7,168,pharma & biotech (48),9.8,,,62.3,13.14,14.22,474.0,2004
denmark,28.2,3.37,3.91,,bang & olufsen,2.72,-3.07,169,electronic & electrical  (25),9.3,,,61.32,12.62,-8.99,486.0,2004
denmark,-9.58,10.12,10.82,,chr hansen,3.64,2.33,170,pharma & biotech (48),7.2,,,60.9,10.13,3.09,601.0,2004
austria,16.28,9.19,8.36,,voest-alpine,23.88,1.25,171,steel & other metals (18),8.9,,,60.0,1.04,24.39,5779.0,2004
finland,-15.38,2.42,1.94,,wartsila,12.36,0.55,172,engineering & machinery (26),4.8,,,59.4,2.4,5.09,2478.0,2004
germany,-0.67,2.36,1.94,,iwka,13.31,2.38,173,engineering & machinery (26),3.7,,,59.3,2.73,-5.16,2169.0,2004
uk,4.26,7.56,6.6,,boc,44.26,-2.64,174,chemicals (11),13.9,,,58.76,1.07,4.49,5488.0,2004
sweden,10.68,7.92,8.69,,vattenfall,33.02,-6.46,175,electricity (72),17.3,,,58.57,0.47,1.28,12551.0,2004
germany,-37.43,4.0,2.41,,mg technologies,26.33,-15.4,176,engineering & machinery (26),4.3,,,58.57,1.44,-36.61,4059.0,2004
germany,0.87,3.33,3.37,,koenig & bauer,7.37,1.43,177,engineering & machinery (26),1.4,,,58.1,4.08,15.5,1423.0,2004
uk,-28.53,1.49,1.61,,logicacmg,19.65,-7.0,178,software & computer services (97),4.1,,,58.05,2.46,-2.16,2359.0,2004
spain,-57.46,6.21,5.89,,repsol ypf,32.38,5.65,179,oil & gas (7),9.2,,,57.0,0.14,12.52,40585.0,2004
germany,-0.87,3.82,3.67,,salzgitter,17.63,-2.91,180,steel & other metals (18),6.8,,,57.0,0.96,22.72,5942.0,2004
austria,-2.51,1.15,1.33,,va technologie,16.56,-5.24,181,engineering & machinery (26),-1.8,,,56.41,1.38,3.82,4073.0,2004
sweden,11.86,3.41,2.9,,assa abloy,29.16,1.57,182,support services (58),10.9,,,55.36,1.96,6.0,2826.0,2004
uk,20.3,0.93,2.12,,eidos,0.7,29.85,183,software & computer services (97),-2.5,,,55.36,29.29,-11.68,189.0,2004
italy,43.58,75.43,50.0,,fastweb,2.11,43.4,184,telecommunication services (67),-16.8,,,55.12,7.66,36.11,720.0,2004
germany,-20.29,6.93,6.66,,e.on,73.14,8.79,185,utilities - other (77),13.2,,,55.0,0.12,5.18,44745.0,2004
the netherlands,24.24,1.9,1.32,,draka,8.5,11.41,186,electronic & electrical  (25),-0.3,,,54.18,3.11,22.75,1743.0,2004
uk,15.87,9.52,7.81,,symbian,0.73,12.4,187,software & computer services (97),-65.7,,,54.18,84.66,52.38,64.0,2004
france,-3.57,5.84,7.34,,lafarge,77.08,2.31,188,construction & building (13),12.9,,,54.0,0.37,5.7,14436.0,2004
italy,-11.33,5.45,5.01,,sorin,4.78,-13.12,189,health (44),-3.5,,,54.0,7.51,-14.81,719.0,2004
france,-10.0,0.71,1.23,,bull,7.53,-3.36,190,it hardware (93),2.1,,,54.0,4.74,-9.96,1139.0,2004
belgium,49.78,6.07,7.64,,bekaert,12.29,9.7,191,engineering & machinery (26),10.6,,,53.92,2.48,20.92,2173.0,2004
germany,-41.76,,,,hvb,58.44,-8.01,192,banks (81),-20.2,,,53.0,0.57,28.34,9219.0,2004
sweden,1.18,0.62,0.61,,intentia international,2.64,-14.95,193,software & computer services (97),-9.3,,,51.45,15.59,1.85,330.0,2004
denmark,55.79,2.68,4.5,,nyco,3.02,6.64,194,pharma & biotech (48),3.1,,,51.38,7.97,1.57,645.0,2004
denmark,7.91,33.33,300.0,,genmab,0.21,3.52,195,pharma & biotech (48),-10766.4,,,50.19,5019.0,-88.89,1.0,2004
spain,22.43,4.64,5.99,,gamesa,7.22,17.16,196,engineering & machinery (26),16.0,,,49.95,2.88,10.43,1736.0,2004
uk,2.35,2.99,2.65,,spectris,5.9,3.51,197,electronic & electrical  (25),8.6,,,49.3,5.68,8.23,868.0,2004
germany,-15.95,1.9,1.46,,software,2.51,-11.67,198,software & computer services (97),20.4,,,49.0,11.92,-2.61,411.0,2004
the netherlands,-1.61,2.47,3.82,,axalto,4.82,12.24,199,electronic & electrical  (25),9.4,,,48.24,6.82,-7.94,707.0,2004
germany,-14.03,,,,deutsche borse,3.08,1.02,200,other financials (87),31.1,,,47.2,2.97,-0.19,1591.0,2004
france,-24.21,3.99,1.97,,wavecom,0.46,-33.82,201,it hardware (93),-53.4,,,47.08,30.97,-44.93,152.0,2004
finland,-2.08,5.98,5.84,,upm-kymmene,34.82,-2.62,202,forestry & paper (15),6.0,,,47.0,0.48,-1.29,9820.0,2004
france,0.0,1.66,1.92,,nexans,17.66,3.48,203,electronic & electrical  (25),2.2,,,47.0,0.96,21.11,4900.0,2004
denmark,-9.45,5.07,6.27,,arla foods,20.86,17.22,204,food producers (43),3.1,,,46.38,0.72,17.13,6400.0,2004
